alumnus alumni
cactus cacti
nucleus nuclei
radius radii
stimulus stimuli
axis axes
analysis analyses
basis bases
crisis crises
diagnosis diagnoses
ellipsis ellipses
hypothesis hypotheses
oasis oases
paralysis paralyses
parenthesis parentheses
synthesis syntheses
synopsis synopses
thesis theses
appendix appendices
beau beaux
child children
man men
ox oxen
woman women
bacterium bacteria
corpus corpora
criterion criteria
curriculum curricula
datum data
genus genera
medium media
memorandum memoranda
phenomenon phenomena
stratum strata
deer deer
fish fish
means means
offspring offspring
series series
sheep sheep
species species
foot feet
goose geese
tooth teeth
nebula nebulae
vertebra vertebrae
vita vitae
louse lice
mouse mice
series series
sheep sheep
species species
stimulus stimuli
stratum strata
swine swine
synopsis synopses
thesis theses
thief thieves
tooth teeth
vita vitae
wife wives
wolf wolves
woman women
albino albinos
armadillo armadillos
auto autos
cameo cameos
cello cellos
combo combos
duo duos
ego egos
folio folios
halo halos
inferno infernos
lasso lassos
memento mementos
memo memos
piano pianos
photo photos
portfolio portfolios
pro pros
silo silos
solo solos
stereo stereos
studio studios
taco tacos
tattoo tattoos
tuxedo tuxedos
typo typos
veto vetoes
video videos
yo yos
zoo zoos
belief beliefs
chef chefs
chief chiefs
dwarf dwarfs
grief griefs
gulf gulfs
handkerchief handkerchiefs
kerchief kerchiefs
mischief mischiefs
muff muffs
oaf oafs
proof proofs
roof roofs
safe safes
turf turfs
